City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,jining,CN,35.405,116.5814,64.4,20,0,8.25,clear sky
337,ayr,GB,55.4627,-4.6339,46.98,81,0,11.5,clear sky
338,santa cruz de la palma,ES,28.6835,-17.7642,69.94,60,0,4.61,clear sky
339,yellandu,IN,17.6,80.3333,77.4,87,99,1.48,overcast clouds
340,faanui,PF,-16.4833,-151.75,77.47,78,30,13.67,light rain
341,kirensk,RU,57.7853,108.1119,34.97,76,100,7.63,overcast clouds
342,rizhao,CN,35.4275,119.4553,61.2,31,0,6.04,clear sky
343,kholtoson,RU,50.2981,103.3097,39.47,44,100,2.35,overcast clouds
344,kwinana,AU,-32.25,115.7667,84.16,41,12,11.74,few clouds
345,biak,ID,-0.9131,122.8766,84.34,69,90,1.86,heavy intensity rain
346,xining,CN,36.6167,101.7667,50.7,34,100,1.07,overcast clouds
347,camacha,PT,33.0833,-16.3333,69.22,83,20,12.66,few clouds
348,mount isa,AU,-20.7333,139.5,89.37,35,0,17.27,clear sky
349,russell,US,32.3502,-85.1999,45.68,65,0,5.75,clear sky
350,ciocarlia,RO,44.1,28.2833,49.03,86,3,5.53,clear sky
351,jacksonville,US,30.3322,-81.6556,60.91,41,0,13.8,clear sky
352,ivanivka,UA,46.7208,34.553,47.28,64,10,2.75,clear sky
353,meridian,US,43.6121,-116.3915,61.72,53,0,0.0,clear sky
354,eureka,US,40.8021,-124.1637,61.66,86,52,4.03,broken clouds
355,uray,RU,60.1247,64.7758,39.69,91,100,8.79,overcast clouds
356,nanakuli,US,21.3906,-158.1547,83.57,61,75,10.36,broken clouds
357,lubao,PH,14.9167,120.55,89.31,69,91,4.07,light rain
358,langham,CA,52.3668,-106.9679,48.04,37,83,7.7,broken clouds
359,casablanca,MA,33.5928,-7.6192,75.33,64,96,4.0,overcast clouds
